"keyword","period","searchVolume"
"부침개","2023-07-01","360"
"부침개","2023-07-02","350"
"부침개","2023-07-03","370"
"부침개","2023-07-04","1890"
"부침개","2023-07-05","520"
"부침개","2023-07-06","370"
"부침개","2023-07-07","860"
"부침개","2023-07-08","530"
"부침개","2023-07-09","1220"
"부침개","2023-07-10","480"
"부침개","2023-07-11","1330"
"부침개","2023-07-12","540"
"부침개","2023-07-13","1820"
"부침개","2023-07-14","1560"
"부침개","2023-07-15","1280"
"부침개","2023-07-16","980"
"부침개","2023-07-17","620"
"부침개","2023-07-18","880"
"부침개","2023-07-19","390"
"부침개","2023-07-20","340"
"부침개","2023-07-21","340"
"부침개","2023-07-22","680"
"부침개","2023-07-23","1400"
"부침개","2023-07-24","530"
"부침개","2023-07-25","410"
"부침개","2023-07-26","430"
"부침개","2023-07-27","350"
"부침개","2023-07-28","280"
"부침개","2023-07-29","320"
"부침개","2023-07-30","460"
"부침개","2023-07-31","360"
