"keyword","period","searchVolume"
"부침개","2023-09-01","410"
"부침개","2023-09-02","390"
"부침개","2023-09-03","440"
"부침개","2023-09-04","350"
"부침개","2023-09-05","380"
"부침개","2023-09-06","340"
"부침개","2023-09-07","330"
"부침개","2023-09-08","310"
"부침개","2023-09-09","330"
"부침개","2023-09-10","410"
"부침개","2023-09-11","320"
"부침개","2023-09-12","420"
"부침개","2023-09-13","1310"
"부침개","2023-09-14","620"
"부침개","2023-09-15","700"
"부침개","2023-09-16","850"
"부침개","2023-09-17","520"
"부침개","2023-09-18","420"
"부침개","2023-09-19","460"
"부침개","2023-09-20","1480"
"부침개","2023-09-21","520"
"부침개","2023-09-22","390"
"부침개","2023-09-23","400"
"부침개","2023-09-24","510"
"부침개","2023-09-25","580"
"부침개","2023-09-26","1040"
"부침개","2023-09-27","800"
"부침개","2023-09-28","1190"
"부침개","2023-09-29","580"
"부침개","2023-09-30","460"
